month,department,category,budget,actual,variance
2024-06-01,Sales,Salaries & Wages,55200,59620,4420
2024-06-01,Sales,Software & Cloud,19200,24278,5078
2024-06-01,Sales,Contractors,14400,16522,2122
2024-06-01,Sales,Travel & Events,9600,9042,-558
2024-06-01,Sales,Marketing Programs,8400,8563,163
2024-06-01,Sales,Facilities,7200,7327,127
2024-06-01,Sales,Training,3600,3707,107
2024-06-01,Sales,Other,2400,2809,409
2024-06-01,Marketing,Salaries & Wages,36800,32871,-3929
2024-06-01,Marketing,Software & Cloud,12800,13048,248
2024-06-01,Marketing,Contractors,9600,9823,223
2024-06-01,Marketing,Travel & Events,6400,5534,-866
2024-06-01,Marketing,Marketing Programs,5600,5029,-571
2024-06-01,Marketing,Facilities,4800,4176,-624
2024-06-01,Marketing,Training,2400,2094,-306
2024-06-01,Marketing,Other,1600,1535,-65
2024-06-01,R&D,Salaries & Wages,27600,28517,917
2024-06-01,R&D,Software & Cloud,9600,12030,2430
2024-06-01,R&D,Contractors,7200,7770,570
2024-06-01,R&D,Travel & Events,4800,4578,-222
2024-06-01,R&D,Marketing Programs,4200,4086,-114
2024-06-01,R&D,Facilities,3600,3976,376
2024-06-01,R&D,Training,1800,1775,-25
2024-06-01,R&D,Other,1200,1366,166
2024-06-01,Operations,Salaries & Wages,43700,44554,854
2024-06-01,Operations,Software & Cloud,15200,17458,2258
2024-06-01,Operations,Contractors,11400,10692,-708
2024-06-01,Operations,Travel & Events,7600,6837,-763
2024-06-01,Operations,Marketing Programs,6650,6496,-154
2024-06-01,Operations,Facilities,5700,5796,96
2024-06-01,Operations,Training,2850,2495,-355
2024-06-01,Operations,Other,1900,1865,-35
2024-06-01,G&A,Salaries & Wages,18400,16830,-1570
2024-06-01,G&A,Software & Cloud,6400,6801,401
2024-06-01,G&A,Contractors,4800,5359,559
2024-06-01,G&A,Travel & Events,3200,2721,-479
2024-06-01,G&A,Marketing Programs,2800,2629,-171
2024-06-01,G&A,Facilities,2400,2455,55
2024-06-01,G&A,Training,1200,1068,-132
2024-06-01,G&A,Other,800,771,-29
2024-06-01,Customer Success,Salaries & Wages,23000,24542,1542
2024-06-01,Customer Success,Software & Cloud,8000,9789,1789
2024-06-01,Customer Success,Contractors,6000,6382,382
2024-06-01,Customer Success,Travel & Events,4000,3919,-81
2024-06-01,Customer Success,Marketing Programs,3500,3904,404
2024-06-01,Customer Success,Facilities,3000,2898,-102
2024-06-01,Customer Success,Training,1500,1590,90
2024-06-01,Customer Success,Other,1000,1068,68
2024-07-01,Sales,Salaries & Wages,55200,57504,2304
2024-07-01,Sales,Software & Cloud,19200,26952,7752
2024-07-01,Sales,Contractors,14400,17625,3225
2024-07-01,Sales,Travel & Events,9600,8898,-702
2024-07-01,Sales,Marketing Programs,8400,8861,461
2024-07-01,Sales,Facilities,7200,8069,869
2024-07-01,Sales,Training,3600,3661,61
2024-07-01,Sales,Other,2400,2707,307
2024-07-01,Marketing,Salaries & Wages,36800,33689,-3111
2024-07-01,Marketing,Software & Cloud,12800,14082,1282
2024-07-01,Marketing,Contractors,9600,10389,789
2024-07-01,Marketing,Travel & Events,6400,5197,-1203
2024-07-01,Marketing,Marketing Programs,5600,5054,-546
2024-07-01,Marketing,Facilities,4800,4291,-509
2024-07-01,Marketing,Training,2400,2112,-288
2024-07-01,Marketing,Other,1600,1369,-231
2024-07-01,R&D,Salaries & Wages,27600,29914,2314
2024-07-01,R&D,Software & Cloud,9600,12244,2644
2024-07-01,R&D,Contractors,7200,9210,2010
2024-07-01,R&D,Travel & Events,4800,5308,508
2024-07-01,R&D,Marketing Programs,4200,4223,23
2024-07-01,R&D,Facilities,3600,3852,252
2024-07-01,R&D,Training,1800,1995,195
2024-07-01,R&D,Other,1200,1195,-5
2024-07-01,Operations,Salaries & Wages,43700,42927,-773
2024-07-01,Operations,Software & Cloud,15200,17552,2352
2024-07-01,Operations,Contractors,11400,13409,2009
2024-07-01,Operations,Travel & Events,7600,7360,-240
2024-07-01,Operations,Marketing Programs,6650,6388,-262
2024-07-01,Operations,Facilities,5700,5631,-69
2024-07-01,Operations,Training,2850,2694,-156
2024-07-01,Operations,Other,1900,2103,203
2024-07-01,G&A,Salaries & Wages,18400,17388,-1012
2024-07-01,G&A,Software & Cloud,6400,7007,607
2024-07-01,G&A,Contractors,4800,5134,334
2024-07-01,G&A,Travel & Events,3200,2834,-366
2024-07-01,G&A,Marketing Programs,2800,2602,-198
2024-07-01,G&A,Facilities,2400,2176,-224
2024-07-01,G&A,Training,1200,1105,-95
2024-07-01,G&A,Other,800,755,-45
2024-07-01,Customer Success,Salaries & Wages,23000,26190,3190
2024-07-01,Customer Success,Software & Cloud,8000,10158,2158
2024-07-01,Customer Success,Contractors,6000,6870,870
2024-07-01,Customer Success,Travel & Events,4000,4067,67
2024-07-01,Customer Success,Marketing Programs,3500,3532,32
2024-07-01,Customer Success,Facilities,3000,3393,393
2024-07-01,Customer Success,Training,1500,1512,12
2024-07-01,Customer Success,Other,1000,1100,100
2024-08-01,Sales,Salaries & Wages,55200,55439,239
2024-08-01,Sales,Software & Cloud,19200,24465,5265
2024-08-01,Sales,Contractors,14400,15251,851
2024-08-01,Sales,Travel & Events,9600,8483,-1117
2024-08-01,Sales,Marketing Programs,8400,8682,282
2024-08-01,Sales,Facilities,7200,7403,203
2024-08-01,Sales,Training,3600,3748,148
2024-08-01,Sales,Other,2400,2980,580
2024-08-01,Marketing,Salaries & Wages,36800,32147,-4653
2024-08-01,Marketing,Software & Cloud,12800,13020,220
2024-08-01,Marketing,Contractors,9600,9639,39
2024-08-01,Marketing,Travel & Events,6400,5569,-831
2024-08-01,Marketing,Marketing Programs,5600,4935,-665
2024-08-01,Marketing,Facilities,4800,4354,-446
2024-08-01,Marketing,Training,2400,2184,-216
2024-08-01,Marketing,Other,1600,1516,-84
2024-08-01,R&D,Salaries & Wages,27600,29166,1566
2024-08-01,R&D,Software & Cloud,9600,12354,2754
2024-08-01,R&D,Contractors,7200,8761,1561
2024-08-01,R&D,Travel & Events,4800,4661,-139
2024-08-01,R&D,Marketing Programs,4200,4653,453
2024-08-01,R&D,Facilities,3600,3845,245
2024-08-01,R&D,Training,1800,2038,238
2024-08-01,R&D,Other,1200,1365,165
2024-08-01,Operations,Salaries & Wages,43700,44374,674
2024-08-01,Operations,Software & Cloud,15200,17040,1840
2024-08-01,Operations,Contractors,11400,12347,947
2024-08-01,Operations,Travel & Events,7600,6264,-1336
2024-08-01,Operations,Marketing Programs,6650,6087,-563
2024-08-01,Operations,Facilities,5700,5884,184
2024-08-01,Operations,Training,2850,2407,-443
2024-08-01,Operations,Other,1900,2019,119
2024-08-01,G&A,Salaries & Wages,18400,16058,-2342
2024-08-01,G&A,Software & Cloud,6400,7464,1064
2024-08-01,G&A,Contractors,4800,4775,-25
2024-08-01,G&A,Travel & Events,3200,2990,-210
2024-08-01,G&A,Marketing Programs,2800,2653,-147
2024-08-01,G&A,Facilities,2400,2121,-279
2024-08-01,G&A,Training,1200,1191,-9
2024-08-01,G&A,Other,800,845,45
2024-08-01,Customer Success,Salaries & Wages,23000,24364,1364
2024-08-01,Customer Success,Software & Cloud,8000,9625,1625
2024-08-01,Customer Success,Contractors,6000,6826,826
2024-08-01,Customer Success,Travel & Events,4000,3691,-309
2024-08-01,Customer Success,Marketing Programs,3500,3857,357
2024-08-01,Customer Success,Facilities,3000,3088,88
2024-08-01,Customer Success,Training,1500,1511,11
2024-08-01,Customer Success,Other,1000,1014,14
2024-09-01,Sales,Salaries & Wages,55200,57834,2634
2024-09-01,Sales,Software & Cloud,19200,22247,3047
2024-09-01,Sales,Contractors,14400,18243,3843
2024-09-01,Sales,Travel & Events,9600,9519,-81
2024-09-01,Sales,Marketing Programs,8400,9392,992
2024-09-01,Sales,Facilities,7200,7839,639
2024-09-01,Sales,Training,3600,3569,-31
2024-09-01,Sales,Other,2400,2560,160
2024-09-01,Marketing,Salaries & Wages,36800,32644,-4156
2024-09-01,Marketing,Software & Cloud,12800,13510,710
2024-09-01,Marketing,Contractors,9600,9300,-300
2024-09-01,Marketing,Travel & Events,6400,5305,-1095
2024-09-01,Marketing,Marketing Programs,5600,4588,-1012
2024-09-01,Marketing,Facilities,4800,4195,-605
2024-09-01,Marketing,Training,2400,2310,-90
2024-09-01,Marketing,Other,1600,1410,-190
2024-09-01,R&D,Salaries & Wages,27600,29186,1586
2024-09-01,R&D,Software & Cloud,9600,12691,3091
2024-09-01,R&D,Contractors,7200,9532,2332
2024-09-01,R&D,Travel & Events,4800,4559,-241
2024-09-01,R&D,Marketing Programs,4200,4532,332
2024-09-01,R&D,Facilities,3600,3905,305
2024-09-01,R&D,Training,1800,1733,-67
2024-09-01,R&D,Other,1200,1413,213
2024-09-01,Operations,Salaries & Wages,43700,44075,375
2024-09-01,Operations,Software & Cloud,15200,17731,2531
2024-09-01,Operations,Contractors,11400,11886,486
2024-09-01,Operations,Travel & Events,7600,7257,-343
2024-09-01,Operations,Marketing Programs,6650,6308,-342
2024-09-01,Operations,Facilities,5700,5708,8
2024-09-01,Operations,Training,2850,2559,-291
2024-09-01,Operations,Other,1900,1784,-116
2024-09-01,G&A,Salaries & Wages,18400,19311,911
2024-09-01,G&A,Software & Cloud,6400,6916,516
2024-09-01,G&A,Contractors,4800,5110,310
2024-09-01,G&A,Travel & Events,3200,2846,-354
2024-09-01,G&A,Marketing Programs,2800,2562,-238
2024-09-01,G&A,Facilities,2400,2255,-145
2024-09-01,G&A,Training,1200,1147,-53
2024-09-01,G&A,Other,800,761,-39
2024-09-01,Customer Success,Salaries & Wages,23000,24278,1278
2024-09-01,Customer Success,Software & Cloud,8000,9813,1813
2024-09-01,Customer Success,Contractors,6000,7407,1407
2024-09-01,Customer Success,Travel & Events,4000,4083,83
2024-09-01,Customer Success,Marketing Programs,3500,3700,200
2024-09-01,Customer Success,Facilities,3000,3089,89
2024-09-01,Customer Success,Training,1500,1397,-103
2024-09-01,Customer Success,Other,1000,1128,128
2024-10-01,Sales,Salaries & Wages,55200,63786,8586
2024-10-01,Sales,Software & Cloud,19200,23874,4674
2024-10-01,Sales,Contractors,14400,17519,3119
2024-10-01,Sales,Travel & Events,9600,10093,493
2024-10-01,Sales,Marketing Programs,8400,9339,939
2024-10-01,Sales,Facilities,7200,8297,1097
2024-10-01,Sales,Training,3600,3629,29
2024-10-01,Sales,Other,2400,2866,466
2024-10-01,Marketing,Salaries & Wages,36800,31297,-5503
2024-10-01,Marketing,Software & Cloud,12800,14207,1407
2024-10-01,Marketing,Contractors,9600,9788,188
2024-10-01,Marketing,Travel & Events,6400,5687,-713
2024-10-01,Marketing,Marketing Programs,5600,5573,-27
2024-10-01,Marketing,Facilities,4800,4809,9
2024-10-01,Marketing,Training,2400,1951,-449
2024-10-01,Marketing,Other,1600,1325,-275
2024-10-01,R&D,Salaries & Wages,27600,32717,5117
2024-10-01,R&D,Software & Cloud,9600,11725,2125
2024-10-01,R&D,Contractors,7200,8770,1570
2024-10-01,R&D,Travel & Events,4800,5242,442
2024-10-01,R&D,Marketing Programs,4200,4166,-34
2024-10-01,R&D,Facilities,3600,3580,-20
2024-10-01,R&D,Training,1800,1960,160
2024-10-01,R&D,Other,1200,1358,158
2024-10-01,Operations,Salaries & Wages,43700,43491,-209
2024-10-01,Operations,Software & Cloud,15200,17696,2496
2024-10-01,Operations,Contractors,11400,11809,409
2024-10-01,Operations,Travel & Events,7600,6449,-1151
2024-10-01,Operations,Marketing Programs,6650,6450,-200
2024-10-01,Operations,Facilities,5700,5431,-269
2024-10-01,Operations,Training,2850,2478,-372
2024-10-01,Operations,Other,1900,1978,78
2024-10-01,G&A,Salaries & Wages,18400,17750,-650
2024-10-01,G&A,Software & Cloud,6400,7302,902
2024-10-01,G&A,Contractors,4800,4730,-70
2024-10-01,G&A,Travel & Events,3200,2740,-460
2024-10-01,G&A,Marketing Programs,2800,2477,-323
2024-10-01,G&A,Facilities,2400,2203,-197
2024-10-01,G&A,Training,1200,1117,-83
2024-10-01,G&A,Other,800,739,-61
2024-10-01,Customer Success,Salaries & Wages,23000,25070,2070
2024-10-01,Customer Success,Software & Cloud,8000,10018,2018
2024-10-01,Customer Success,Contractors,6000,7807,1807
2024-10-01,Customer Success,Travel & Events,4000,3612,-388
2024-10-01,Customer Success,Marketing Programs,3500,3821,321
2024-10-01,Customer Success,Facilities,3000,3184,184
2024-10-01,Customer Success,Training,1500,1519,19
2024-10-01,Customer Success,Other,1000,978,-22
2024-11-01,Sales,Salaries & Wages,55200,58693,3493
2024-11-01,Sales,Software & Cloud,19200,25235,6035
2024-11-01,Sales,Contractors,14400,16915,2515
2024-11-01,Sales,Travel & Events,9600,9701,101
2024-11-01,Sales,Marketing Programs,8400,8752,352
2024-11-01,Sales,Facilities,7200,8434,1234
2024-11-01,Sales,Training,3600,3733,133
2024-11-01,Sales,Other,2400,2299,-101
2024-11-01,Marketing,Salaries & Wages,36800,32325,-4475
2024-11-01,Marketing,Software & Cloud,12800,11977,-823
2024-11-01,Marketing,Contractors,9600,7811,-1789
2024-11-01,Marketing,Travel & Events,6400,5223,-1177
2024-11-01,Marketing,Marketing Programs,5600,5388,-212
2024-11-01,Marketing,Facilities,4800,4408,-392
2024-11-01,Marketing,Training,2400,1946,-454
2024-11-01,Marketing,Other,1600,1385,-215
2024-11-01,R&D,Salaries & Wages,27600,33403,5803
2024-11-01,R&D,Software & Cloud,9600,12603,3003
2024-11-01,R&D,Contractors,7200,8819,1619
2024-11-01,R&D,Travel & Events,4800,4978,178
