month,channel,sessions,conversions,revenue,ad_spend
2024-06-01,Organic Search,44481,881,65087.33,0.0
2024-06-01,Paid Search,24822,784,67179.49,24344.81
2024-06-01,Social,47040,537,32182.39,16752.2
2024-06-01,Email,15484,650,60088.54,333.33
2024-06-01,Referral,8280,252,19228.13,0.0
2024-07-01,Organic Search,40978,902,75456.1,0.0
2024-07-01,Paid Search,24602,735,58951.37,22726.72
2024-07-01,Social,40155,495,30901.41,14477.31
2024-07-01,Email,15820,617,49530.37,328.54
2024-07-01,Referral,7772,261,22594.9,0.0
2024-08-01,Organic Search,39238,823,65104.13,0.0
2024-08-01,Paid Search,24612,712,52777.54,23845.79
2024-08-01,Social,40704,542,34972.47,14596.37
2024-08-01,Email,14209,648,60630.3,299.06
2024-08-01,Referral,8447,287,22942.45,0.0
2024-09-01,Organic Search,39112,752,58856.79,0.0
2024-09-01,Paid Search,28427,769,65138.5,26222.96
2024-09-01,Social,38799,454,30573.32,13014.05
2024-09-01,Email,17511,825,74189.56,357.45
2024-09-01,Referral,8858,267,21584.9,0.0
2024-10-01,Organic Search,46627,1100,80153.85,0.0
2024-10-01,Paid Search,31515,927,77370.89,29969.75
2024-10-01,Social,49823,594,36493.61,17477.19
2024-10-01,Email,16539,735,60542.27,331.18
2024-10-01,Referral,10612,335,24953.61,0.0
2024-11-01,Organic Search,60518,1408,106518.42,0.0
2024-11-01,Paid Search,37147,1181,87247.09,34417.48
2024-11-01,Social,55074,689,44198.6,19443.88
2024-11-01,Email,19867,1048,95303.99,385.1
2024-11-01,Referral,13640,374,28554.69,0.0
2024-12-01,Organic Search,68870,1476,114702.32,0.0
2024-12-01,Paid Search,41081,1039,89920.58,40786.45
2024-12-01,Social,57438,592,39182.06,20783.21
2024-12-01,Email,22396,977,88713.63,464.65
2024-12-01,Referral,12828,361,26422.77,0.0
2025-01-01,Organic Search,47856,1165,82138.7,0.0
2025-01-01,Paid Search,28543,894,80928.24,28894.16
2025-01-01,Social,37208,458,31448.82,13328.88
2025-01-01,Email,14055,640,52750.7,293.13
2025-01-01,Referral,8649,256,19478.49,0.0
2025-02-01,Organic Search,41489,831,65168.79,0.0
2025-02-01,Paid Search,25785,735,56256.42,23045.33
2025-02-01,Social,37121,416,26408.77,13526.02
2025-02-01,Email,15006,803,69045.38,291.15
2025-02-01,Referral,7383,236,17361.81,0.0
2025-03-01,Organic Search,49418,1261,101128.99,0.0
2025-03-01,Paid Search,27467,819,61072.2,25450.92
2025-03-01,Social,34197,379,25755.82,11437.28
2025-03-01,Email,16584,798,66502.86,333.63
2025-03-01,Referral,8601,262,19212.8,0.0
2025-04-01,Organic Search,49969,1089,91300.72,0.0
2025-04-01,Paid Search,31667,939,80674.43,29031.93
2025-04-01,Social,38403,466,30972.63,14229.61
2025-04-01,Email,18865,893,78335.0,368.9
2025-04-01,Referral,9891,271,20006.52,0.0
2025-05-01,Organic Search,52532,1156,85177.04,0.0
2025-05-01,Paid Search,26209,698,59975.9,24550.09
2025-05-01,Social,38123,559,35424.06,13228.76
2025-05-01,Email,15814,731,70684.18,319.68
2025-05-01,Referral,9701,369,27923.48,0.0
2025-06-01,Organic Search,49639,962,77993.05,0.0
2025-06-01,Paid Search,29913,897,70947.14,27781.56
2025-06-01,Social,40960,445,26593.62,14318.59
2025-06-01,Email,15713,641,53630.56,296.45
2025-06-01,Referral,9102,289,21820.86,0.0
2025-07-01,Organic Search,46282,784,58790.47,0.0
2025-07-01,Paid Search,26976,786,62472.28,25413.3
2025-07-01,Social,33203,437,26915.08,12156.72
2025-07-01,Email,15930,767,60355.15,311.49
2025-07-01,Referral,8966,242,15967.93,0.0
2025-08-01,Organic Search,48314,1047,84041.54,0.0
2025-08-01,Paid Search,24884,635,53306.22,24710.53
2025-08-01,Social,32208,450,27885.34,11247.51
2025-08-01,Email,17138,756,63562.47,319.79
2025-08-01,Referral,9046,280,22971.45,0.0
2025-09-01,Organic Search,46901,878,62979.29,0.0
2025-09-01,Paid Search,31295,897,74627.5,27659.2
2025-09-01,Social,33979,406,28835.63,12709.86
2025-09-01,Email,18764,905,81964.16,369.72
2025-09-01,Referral,9868,256,20762.96,0.0
2025-10-01,Organic Search,56481,1143,86568.85,0.0
2025-10-01,Paid Search,31972,1019,76716.58,32002.79
2025-10-01,Social,36355,471,29352.68,12110.46
2025-10-01,Email,20902,1115,94384.51,433.76
2025-10-01,Referral,11920,372,27758.75,0.0
2025-11-01,Organic Search,75892,1704,134660.25,0.0
2025-11-01,Paid Search,39449,1042,91062.23,37629.17
2025-11-01,Social,45590,500,33602.94,17086.74
2025-11-01,Email,25897,1027,96214.75,477.47
2025-11-01,Referral,13990,449,31602.69,0.0
2025-12-01,Organic Search,73127,1431,103849.64,0.0
2025-12-01,Paid Search,38019,1122,92836.7,38149.85
2025-12-01,Social,43603,583,34976.32,15180.28
2025-12-01,Email,26318,1076,92417.6,492.2
2025-12-01,Referral,14076,396,30230.74,0.0
2026-01-01,Organic Search,51098,1008,77130.32,0.0
2026-01-01,Paid Search,27546,746,60212.52,28586.05
2026-01-01,Social,27261,320,21151.26,9324.12
2026-01-01,Email,15955,672,59234.25,317.86
2026-01-01,Referral,8965,248,18660.05,0.0
2026-02-01,Organic Search,47592,1184,87498.78,0.0
2026-02-01,Paid Search,29123,900,77486.2,26151.97
2026-02-01,Social,25638,323,19751.95,9328.61
2026-02-01,Email,16083,656,59361.83,313.89
2026-02-01,Referral,9158,262,18164.72,0.0
2026-03-01,Organic Search,53369,1087,90139.57,0.0
2026-03-01,Paid Search,28741,784,64426.58,28574.78
2026-03-01,Social,31087,365,22739.05,10468.84
2026-03-01,Email,18532,898,74084.01,343.88
2026-03-01,Referral,8694,258,20104.81,0.0
2026-04-01,Organic Search,55995,1162,90683.7,0.0
2026-04-01,Paid Search,30718,791,65404.03,31407.9
2026-04-01,Social,27305,332,21302.47,9528.67
2026-04-01,Email,16996,823,70708.07,335.38
2026-04-01,Referral,9074,247,17000.56,0.0
2026-05-01,Organic Search,62792,1321,103681.13,0.0
2026-05-01,Paid Search,32269,916,77156.7,29227.34
2026-05-01,Social,28891,326,20804.53,8946.49
2026-05-01,Email,19377,911,81024.74,365.24
2026-05-01,Referral,10835,290,21440.28,0.0
