month,plan,region,active_customers,mrr,new_mrr,churned_mrr
2024-06-01,Enterprise,North America,74,122788.91,15962.56,3376.7
2024-06-01,Enterprise,EMEA,68,126098.85,16392.85,3467.72
2024-06-01,Enterprise,APAC,53,96812.05,12585.57,2662.33
2024-06-01,Enterprise,LATAM,45,84510.95,10986.42,2324.05
2024-06-01,Business,North America,296,146042.88,18985.57,4016.18
2024-06-01,Business,EMEA,231,115239.11,14981.08,3169.08
2024-06-01,Business,APAC,182,86207.21,11206.94,2370.7
2024-06-01,Business,LATAM,150,67190.06,8734.71,1847.73
2024-06-01,Starter,North America,1163,60859.1,7911.68,4016.7
2024-06-01,Starter,EMEA,973,45428.74,5905.74,2998.3
2024-06-01,Starter,APAC,806,40866.3,5312.62,2697.18
2024-06-01,Starter,LATAM,636,31160.68,4050.89,2056.6
2024-06-01,Free,North America,3150,0.0,0.0,0.0
2024-06-01,Free,EMEA,2930,0.0,0.0,0.0
2024-06-01,Free,APAC,2520,0.0,0.0,0.0
2024-06-01,Free,LATAM,1676,0.0,0.0,0.0
2024-07-01,Enterprise,North America,76,138423.39,18265.87,3761.51
2024-07-01,Enterprise,EMEA,65,123291.99,16269.18,3350.33
2024-07-01,Enterprise,APAC,56,102281.52,13496.71,2779.39
2024-07-01,Enterprise,LATAM,45,82109.94,10834.94,2231.25
2024-07-01,Business,North America,270,142955.01,18692.92,3884.65
2024-07-01,Business,EMEA,264,134680.47,17610.94,3659.8
2024-07-01,Business,APAC,193,86040.76,11250.76,2338.06
2024-07-01,Business,LATAM,144,66267.9,8665.25,1800.76
2024-07-01,Starter,North America,1225,62226.06,8096.15,4058.22
2024-07-01,Starter,EMEA,1067,56961.14,7411.14,3714.86
2024-07-01,Starter,APAC,833,41400.01,5386.5,2700.0
2024-07-01,Starter,LATAM,620,29973.87,3899.86,1954.82
2024-07-01,Free,North America,3217,0.0,0.0,0.0
2024-07-01,Free,EMEA,2931,0.0,0.0,0.0
2024-07-01,Free,APAC,2266,0.0,0.0,0.0
2024-07-01,Free,LATAM,1959,0.0,0.0,0.0
2024-08-01,Enterprise,North America,85,149681.73,20044.34,4018.63
2024-08-01,Enterprise,EMEA,70,124414.88,16660.78,3340.27
2024-08-01,Enterprise,APAC,57,100177.95,13415.13,2689.56
2024-08-01,Enterprise,LATAM,46,87218.57,11679.7,2341.63
2024-08-01,Business,North America,281,142644.25,18760.82,3829.69
2024-08-01,Business,EMEA,244,115412.83,15179.3,3098.58
2024-08-01,Business,APAC,183,79730.96,10486.35,2140.6
2024-08-01,Business,LATAM,164,75358.29,9911.25,2023.21
2024-08-01,Starter,North America,1223,60048.48,7819.36,3869.21
2024-08-01,Starter,EMEA,1006,51994.32,6770.56,3350.24
2024-08-01,Starter,APAC,810,34829.16,4535.36,2244.21
2024-08-01,Starter,LATAM,580,29547.48,3847.6,1903.89
2024-08-01,Free,North America,3799,0.0,0.0,0.0
2024-08-01,Free,EMEA,2809,0.0,0.0,0.0
2024-08-01,Free,APAC,2446,0.0,0.0,0.0
2024-08-01,Free,LATAM,1739,0.0,0.0,0.0
2024-09-01,Enterprise,North America,87,154987.15,21058.04,4110.53
2024-09-01,Enterprise,EMEA,77,131875.15,17917.82,3497.56
2024-09-01,Enterprise,APAC,56,99127.21,13468.37,2629.03
2024-09-01,Enterprise,LATAM,47,83464.69,11340.31,2213.63
2024-09-01,Business,North America,330,154619.69,20453.5,4100.78
2024-09-01,Business,EMEA,261,122375.64,16188.17,3245.61
2024-09-01,Business,APAC,210,99029.99,13099.95,2626.45
2024-09-01,Business,LATAM,157,80416.8,10637.74,2132.79
2024-09-01,Starter,North America,1157,60723.83,7913.9,3865.2
2024-09-01,Starter,EMEA,960,46166.13,6016.65,2938.57
2024-09-01,Starter,APAC,861,38205.25,4979.14,2431.85
2024-09-01,Starter,LATAM,583,28587.54,3725.7,1819.66
2024-09-01,Free,North America,3551,0.0,0.0,0.0
2024-09-01,Free,EMEA,2887,0.0,0.0,0.0
2024-09-01,Free,APAC,2503,0.0,0.0,0.0
2024-09-01,Free,LATAM,1763,0.0,0.0,0.0
2024-10-01,Enterprise,North America,98,177276.0,24433.26,4643.86
2024-10-01,Enterprise,EMEA,71,125605.34,17311.69,3290.31
2024-10-01,Enterprise,APAC,61,111320.29,15342.84,2916.11
2024-10-01,Enterprise,LATAM,50,86643.54,11941.74,2269.68
2024-10-01,Business,North America,293,146559.57,19498.79,3839.22
2024-10-01,Business,EMEA,266,134887.46,17945.9,3533.46
2024-10-01,Business,APAC,195,90020.35,11976.62,2358.14
2024-10-01,Business,LATAM,171,78959.59,10505.06,2068.4
2024-10-01,Starter,North America,1199,58613.15,7645.19,3684.98
2024-10-01,Starter,EMEA,961,49974.7,6518.44,3141.89
2024-10-01,Starter,APAC,816,39161.9,5108.07,2462.09
2024-10-01,Starter,LATAM,630,31178.61,4066.78,1960.19
2024-10-01,Free,North America,3227,0.0,0.0,0.0
2024-10-01,Free,EMEA,2772,0.0,0.0,0.0
2024-10-01,Free,APAC,2544,0.0,0.0,0.0
2024-10-01,Free,LATAM,2000,0.0,0.0,0.0
2024-11-01,Enterprise,North America,95,175767.48,24569.24,4547.03
2024-11-01,Enterprise,EMEA,76,141402.04,19765.55,3658.01
2024-11-01,Enterprise,APAC,60,103363.07,14448.36,2673.96
2024-11-01,Enterprise,LATAM,48,83886.74,11725.91,2170.11
2024-11-01,Business,North America,292,145718.63,19497.79,3769.68
2024-11-01,Business,EMEA,246,115847.44,15500.89,2996.92
2024-11-01,Business,APAC,206,108103.42,14464.71,2796.59
2024-11-01,Business,LATAM,158,77291.81,10341.98,1999.51
2024-11-01,Starter,North America,1296,60513.38,7899.63,3757.09
2024-11-01,Starter,EMEA,959,46356.88,6051.59,2878.16
2024-11-01,Starter,APAC,765,39385.67,5141.54,2445.34
2024-11-01,Starter,LATAM,621,31747.36,4144.41,1971.1
2024-11-01,Free,North America,3622,0.0,0.0,0.0
2024-11-01,Free,EMEA,3131,0.0,0.0,0.0
2024-11-01,Free,APAC,2574,0.0,0.0,0.0
2024-11-01,Free,LATAM,1828,0.0,0.0,0.0
2024-12-01,Enterprise,North America,86,157777.64,22363.27,4030.19
2024-12-01,Enterprise,EMEA,79,139092.32,19714.82,3552.9
2024-12-01,Enterprise,APAC,64,121304.05,17193.53,3098.53
2024-12-01,Enterprise,LATAM,48,89335.15,12662.29,2281.93
2024-12-01,Business,North America,319,150510.3,20253.45,3844.56
2024-12-01,Business,EMEA,262,129367.18,17408.32,3304.49
2024-12-01,Business,APAC,209,94396.08,12702.43,2411.2
2024-12-01,Business,LATAM,170,78882.73,10614.87,2014.94
2024-12-01,Starter,North America,1161,57008.59,7448.3,3494.87
2024-12-01,Starter,EMEA,1040,54800.96,7159.86,3359.54
2024-12-01,Starter,APAC,834,41054.62,5363.88,2516.83
2024-12-01,Starter,LATAM,664,32910.04,4299.77,2017.53
2024-12-01,Free,North America,3267,0.0,0.0,0.0
2024-12-01,Free,EMEA,2828,0.0,0.0,0.0
2024-12-01,Free,APAC,2623,0.0,0.0,0.0
2024-12-01,Free,LATAM,1818,0.0,0.0,0.0
2025-01-01,Enterprise,North America,94,170923.24,24560.93,4310.24
2025-01-01,Enterprise,EMEA,79,134524.97,19330.65,3392.37
2025-01-01,Enterprise,APAC,64,115279.66,16565.19,2907.05
2025-01-01,Enterprise,LATAM,51,93416.64,13423.57,2355.72
2025-01-01,Business,North America,296,144893.72,19607.9,3653.84
2025-01-01,Business,EMEA,259,130707.54,17688.14,3296.1
2025-01-01,Business,APAC,230,109449.12,14811.32,2760.02
2025-01-01,Business,LATAM,171,82883.7,11216.33,2090.11
2025-01-01,Starter,North America,1215,58885.52,7699.92,3563.85
2025-01-01,Starter,EMEA,1061,50942.33,6661.26,3083.12
2025-01-01,Starter,APAC,746,36916.0,4827.17,2234.22
2025-01-01,Starter,LATAM,636,32219.13,4213.0,1949.96
2025-01-01,Free,North America,3694,0.0,0.0,0.0
2025-01-01,Free,EMEA,3050,0.0,0.0,0.0
2025-01-01,Free,APAC,2401,0.0,0.0,0.0
